"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"332",14,"Jahan Dotson",ATL,"WR117","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-79"
"333",14,"Jalen Royals",KC,"WR118","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-8"
"334",14,"Tyler Higbee",LAR,"TE41","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+37"
"335",14,"Caleb Douglas",MIA,"WR119","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-81"
"336",14,"Olamide Zaccheaus",ATL,"WR120","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+27"
"337",14,"Elijah Arroyo",SEA,"TE42","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-55"
"338",14,"Noah Gray",KC,"TE43","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+1"
"339",14,"Mac Jones",SF,"QB37","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-46"
"340",14,"Joshua Palmer",BUF,"WR121","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-46"
"341",14,"Michael Mayer",LV,"TE44","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-110"
"342",14,"Jalen Tolbert",MIA,"WR122","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-82"
"343",14,"Ja'Tavion Sanders",CAR,"TE45","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-84"
"344",14,"Carolina Panthers",CAR,"DST22","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"345",14,"Bam Knight",ARI,"RB101","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"346",14,"Cole Kmet",CHI,"TE46","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-70"
"347",14,"Dawson Knox",BUF,"TE47","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-91"
"348",14,"J'Mari Taylor",JAC,"RB102","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-5"
"349",14,"DeMario Douglas",NE,"WR123","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-12"
"350",14,"Carson Beck",ARI,"QB38","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-100"
"351",14,"Dallas Cowboys",DAL,"DST23","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"352",14,"Xavier Hutchinson",HOU,"WR124","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-11"
"353",14,"Ty Simpson",LAR,"QB39","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+4"
"354",14,"Brenen Thompson",LAC,"WR125","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-71"
"355",14,"Dont'e Thornton Jr.",LV,"WR126","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-4"
"356",14,"Eli Heidenreich",PIT,"RB103","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-34"
"357",14,"Kendrick Bourne",ARI,"WR127","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-76"
"358",14,"Justin Fields",KC,"QB40","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-81"
"359",14,"Michael Carter",TEN,"RB104","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","+25"
"360",14,"Tyler Bass",BUF,"K19","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"361",14,"Bryce Lance",NO,"WR128","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-77"
"362",14,"Jawhar Jordan",HOU,"RB105","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","+13"
"363",14,"KaVontae Turpin",DAL,"WR129","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-76"
"364",14,"Nick Chubb",FA,"RB106","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"365",14,"Raheim Sanders",CLE,"RB107","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"366",14,"Treylon Burks",WAS,"WR130","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-93"
"367",14,"Cincinnati Bengals",CIN,"DST24","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"368",14,"Nick Westbrook-Ikhine",IND,"WR131","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-14"
"369",14,"Anthony Richardson Sr.",IND,"QB41","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-56"
"370",14,"Justin Joly",DEN,"TE48","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-82"
"371",14,"New York Giants",NYG,"DST25","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"372",14,"Kalif Raymond",CHI,"WR132","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-77"
"373",14,"Jaylin Lane",WAS,"WR133","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-71"
"374",14,"Eli Raridon",NE,"TE49","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-95"
"375",14,"Jake Elliott",PHI,"K20","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-"
"376",14,"Zane Gonzalez",MIA,"K21","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"377",14,"John Metchie III",CAR,"WR134","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"378",14,"Tampa Bay Buccaneers",TB,"DST26","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"379",14,"Tennessee Titans",TEN,"DST27","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"380",14,"Trey Smack",GB,"K22","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"381",14,"Noah Fant",NO,"TE50","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"382",14,"Austin Ekeler",FA,"RB108","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"383",14,"Washington Commanders",WAS,"DST28","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
